route_name,type,origin,destination,olat,olon,dlat,dlon,distance,time
Los Angeles-Charlotte,airplane,Los Angeles,Charlotte,34.052235,-118.243683,35.2272086,-80.8430827,3403.7760891687494,5.254720111460937
Los Angeles-San Francisco,airplane,Los Angeles,San Francisco,34.052235,-118.243683,37.7792588,-122.4193286,559.4660396343112,1.699332549542889
Los Angeles-Indianapolis,airplane,Los Angeles,Indianapolis,34.052235,-118.243683,39.7683331,-86.1583502,2906.1205119900387,4.632650639987548
Los Angeles-Seattle,airplane,Los Angeles,Seattle,34.052235,-118.243683,47.6038321,-122.330062,1545.0093698540488,2.931261712317561
Los Angeles-Denver,airplane,Los Angeles,Denver,34.052235,-118.243683,39.7392364,-104.984862,1335.9392108488578,2.669924013561072
Los Angeles-Washington,airplane,Los Angeles,Washington,34.052235,-118.243683,38.8950368,-77.0365427,3692.13883437104,5.6151735429638
Los Angeles-Boston,airplane,Los Angeles,Boston,34.052235,-118.243683,42.3554334,-71.060511,4169.501182251402,6.211876477814252
Los Angeles-El Paso,airplane,Los Angeles,El Paso,34.052235,-118.243683,31.7601164,-106.4870404,1126.0294963091064,2.407536870386383
Los Angeles-Nashville,airplane,Los Angeles,Nashville,34.052235,-118.243683,36.1622767,-86.7742984,2859.750653748077,4.574688317185096
Los Angeles-Detroit,airplane,Los Angeles,Detroit,34.052235,-118.243683,42.3315509,-83.0466403,3185.2979194574905,4.981622399321863
Los Angeles-Oklahoma City,airplane,Los Angeles,Oklahoma City,34.052235,-118.243683,35.4729886,-97.5170536,1896.445579887996,3.3705569748599946
Los Angeles-Portland,airplane,Los Angeles,Portland,34.052235,-118.243683,45.5202471,-122.674194,1329.6259900399302,2.662032487549913
Los Angeles-Las Vegas,airplane,Los Angeles,Las Vegas,34.052235,-118.243683,36.171697,-115.1463536,367.27089943938273,1.4590886242992285
Los Angeles-Memphis,airplane,Los Angeles,Memphis,34.052235,-118.243683,35.1460249,-90.0517638,2574.648117260665,4.218310146575831
Los Angeles-Baltimore,airplane,Los Angeles,Baltimore,34.052235,-118.243683,39.290386,-76.61219,3725.2261158241895,5.656532644780237
Los Angeles-Louisville,airplane,Los Angeles,Louisville,34.052235,-118.243683,38.2542376,-85.759407,2938.35863680577,4.672948296007212
Chicago-New York,airplane,Chicago,New York,41.8755616,-87.6244212,40.7127281,-74.0060152,1143.83684971148,2.42979606213935
Chicago-Los Angeles,airplane,Chicago,Los Angeles,41.8755616,-87.6244212,34.052235,-118.243683,2804.370260873871,4.505462826092339
Chicago-Houston,airplane,Chicago,Houston,41.8755616,-87.6244212,29.7589382,-95.3676974,1515.8417202471255,2.894802150308907
Chicago-Phoenix,airplane,Chicago,Phoenix,41.8755616,-87.6244212,33.4484367,-112.074141,2336.7029270773296,3.920878658846662
Chicago-Philadelphia,airplane,Chicago,Philadelphia,41.8755616,-87.6244212,39.9527237,-75.1635262,1067.6583444130763,2.3345729305163454
Chicago-San Antonio,airplane,Chicago,San Antonio,41.8755616,-87.6244212,29.4246002,-98.4951405,1694.376236361355,3.117970295451694
Chicago-San Diego,airplane,Chicago,San Diego,41.8755616,-87.6244212,32.7174202,-117.162772,2787.0855595005683,4.48385694937571
Chicago-Dallas,airplane,Chicago,Dallas,41.8755616,-87.6244212,32.7762719,-96.7968559,1295.0703354037237,2.6188379192546547
Chicago-San Jose,airplane,Chicago,San Jose,41.8755616,-87.6244212,37.3361663,-121.890591,2958.4646588777546,4.698080823597193
Chicago-Austin,airplane,Chicago,Austin,41.8755616,-87.6244212,30.2711286,-97.7436995,1576.0874104533052,2.9701092630666315
Chicago-Jacksonville,airplane,Chicago,Jacksonville,41.8755616,-87.6244212,30.3321838,-81.655651,1390.131275816476,2.7376640947705946
Chicago-Fort Worth,airplane,Chicago,Fort Worth,41.8755616,-87.6244212,32.753177,-97.3327459,1327.077469869317,2.658846837336646
Chicago-Columbus,airplane,Chicago,Columbus,41.8755616,-87.6244212,39.9622601,-83.0007065,442.8460763760255,1.553557595470032
Chicago-Charlotte,airplane,Chicago,Charlotte,41.8755616,-87.6244212,35.2272086,-80.8430827,944.9705820796188,2.1812132275995237
Chicago-San Francisco,airplane,Chicago,San Francisco,41.8755616,-87.6244212,37.7792588,-122.4193286,2985.196539876507,4.731495674845634
Chicago-Indianapolis,airplane,Chicago,Indianapolis,41.8755616,-87.6244212,39.7683331,-86.1583502,264.79325454742974,1.3309915681842872
Chicago-Seattle,airplane,Chicago,Seattle,41.8755616,-87.6244212,47.6038321,-122.330062,2789.2262566964505,4.486532820870563
Chicago-Denver,airplane,Chicago,Denver,41.8755616,-87.6244212,39.7392364,-104.984862,1477.680915780411,2.8471011447255137
Chicago-Washington,airplane,Chicago,Washington,41.8755616,-87.6244212,38.8950368,-77.0365427,955.2463952646764,2.1940579940808456
Chicago-Boston,airplane,Chicago,Boston,41.8755616,-87.6244212,42.3554334,-71.060511,1365.1347834745925,2.706418479343241
Chicago-El Paso,airplane,Chicago,El Paso,41.8755616,-87.6244212,31.7601164,-106.4870404,2013.8490513637173,3.517311314204647
Chicago-Nashville,airplane,Chicago,Nashville,41.8755616,-87.6244212,36.1622767,-86.7742984,639.5090596682153,1.799386324585269
Chicago-Detroit,airplane,Chicago,Detroit,41.8755616,-87.6244212,42.3315509,-83.0466403,381.0040842755257,1.476255105344407
Chicago-Oklahoma City,airplane,Chicago,Oklahoma City,41.8755616,-87.6244212,35.4729886,-97.5170536,1114.1855545403434,2.3927319431754293
Chicago-Portland,airplane,Chicago,Portland,41.8755616,-87.6244212,45.5202471,-122.674194,2823.869107852141,4.529836384815177
Chicago-Las Vegas,airplane,Chicago,Las Vegas,41.8755616,-87.6244212,36.171697,-115.1463536,2448.947614095915,4.061184517619894
Chicago-Memphis,airplane,Chicago,Memphis,41.8755616,-87.6244212,35.1460249,-90.0517638,777.4270151201546,1.9717837689001927
Chicago-Baltimore,airplane,Chicago,Baltimore,41.8755616,-87.6244212,39.290386,-76.61219,972.5605149361096,2.215700643670137
Chicago-Louisville,airplane,Chicago,Louisville,41.8755616,-87.6244212,38.2542376,-85.759407,432.7904764357539,1.5409880955446922
Houston-New York,airplane,Houston,New York,29.7589382,-95.3676974,40.7127281,-74.0060152,2281.280426684071,3.851600533355089
Houston-Los Angeles,airplane,Houston,Los Angeles,29.7589382,-95.3676974,34.052235,-118.243683,2206.5067996465077,3.758133499558134
Houston-Chicago,airplane,Houston,Chicago,29.7589382,-95.3676974,41.8755616,-87.6244212,1515.8417202471255,2.894802150308907
Houston-Phoenix,airplane,Houston,Phoenix,29.7589382,-95.3676974,33.4484367,-112.074141,1632.425047432659,3.040531309290824
Houston-Philadelphia,airplane,Houston,Philadelphia,29.7589382,-95.3676974,39.9527237,-75.1635262,2156.341866500929,3.695427333126161
Houston-San Antonio,airplane,Houston,San Antonio,29.7589382,-95.3676974,29.4246002,-98.4951405,304.6633408557572,1.3808291760696965
Houston-San Diego,airplane,Houston,San Diego,29.7589382,-95.3676974,32.7174202,-117.162772,2094.2579981991894,3.617822497748987
Houston-Dallas,airplane,Houston,Dallas,29.7589382,-95.3676974,32.7762719,-96.7968559,361.9528081344044,1.4524410101680054
Houston-San Jose,airplane,Houston,San Jose,29.7589382,-95.3676974,37.3361663,-121.890591,2587.964895341085,4.234956119176356
Houston-Austin,airplane,Houston,Austin,29.7589382,-95.3676974,30.2711286,-97.7436995,235.74602326424548,1.2946825290803068
Houston-Jacksonville,airplane,Houston,Jacksonville,29.7589382,-95.3676974,30.3321838,-81.655651,1320.566326780907,2.650707908476134
Houston-Fort Worth,airplane,Houston,Fort Worth,29.7589382,-95.3676974,32.753177,-97.3327459,381.7386227237998,1.4771732784047498
Houston-Columbus,airplane,Houston,Columbus,29.7589382,-95.3676974,39.9622601,-83.0007065,1597.0405977694872,2.9963007472118592
Houston-Charlotte,airplane,Houston,Charlotte,29.7589382,-95.3676974,35.2272086,-80.8430827,1489.764103561736,2.86220512945217
Houston-San Francisco,airplane,Houston,San Francisco,29.7589382,-95.3676974,37.7792588,-122.4193286,2643.3920083371177,4.304240010421397
Houston-Indianapolis,airplane,Houston,Indianapolis,29.7589382,-95.3676974,39.7683331,-86.1583502,1393.39816979859,2.741747712248237
Houston-Seattle,airplane,Houston,Seattle,29.7589382,-95.3676974,47.6038321,-122.330062,3040.490039884951,4.800612549856188
Houston-Denver,airplane,Houston,Denver,29.7589382,-95.3676974,39.7392364,-104.984862,1413.5918683529349,2.7669898354411684
Houston-Washington,airplane,Houston,Washington,29.7589382,-95.3676974,38.8950368,-77.0365427,1960.4658709245875,3.450582338655734
Houston-Boston,airplane,Houston,Boston,29.7589382,-95.3676974,42.3554334,-71.060511,2580.9394439229,4.226174304903624
Houston-El Paso,airplane,Houston,El Paso,29.7589382,-95.3676974,31.7601164,-106.4870404,1084.9921535353362,2.35624019191917
Houston-Nashville,airplane,Houston,Nashville,29.7589382,-95.3676974,36.1622767,-86.7742984,1071.3966375565597,2.3392457969457
Houston-Detroit,airplane,Houston,Detroit,29.7589382,-95.3676974,42.3315509,-83.0466403,1779.638140386877,3.2245476754835964
Houston-Oklahoma City,airplane,Houston,Oklahoma City,29.7589382,-95.3676974,35.4729886,-97.5170536,666.444348896337,1.8330554361204212
Houston-Portland,airplane,Houston,Portland,29.7589382,-95.3676974,45.5202471,-122.674194,2951.139186366062,4.6889239829575775
Houston-Las Vegas,airplane,Houston,Las Vegas,29.7589382,-95.3676974,36.171697,-115.1463536,1973.598516583567,3.466998145729459
Houston-Memphis,airplane,Houston,Memphis,29.7589382,-95.3676974,35.1460249,-90.0517638,779.2054812244528,1.974006851530566
Houston-Baltimore,airplane,Houston,Baltimore,29.7589382,-95.3676974,39.290386,-76.61219,2012.5910144837387,3.515738768104673
Houston-Louisville,airplane,Houston,Louisville,29.7589382,-95.3676974,38.2542376,-85.759407,1293.3535159940332,2.6166918949925417
Phoenix-New York,airplane,Phoenix,New York,33.4484367,-112.074141,40.7127281,-74.0060152,3443.7063862428104,5.304632982803513
Phoenix-Los Angeles,airplane,Phoenix,Los Angeles,33.4484367,-112.074141,34.052235,-118.243683,574.251066288191,1.7178138328602388
Phoenix-Chicago,airplane,Phoenix,Chicago,33.4484367,-112.074141,41.8755616,-87.6244212,2336.7029270773296,3.920878658846662
Phoenix-Houston,airplane,Phoenix,Houston,33.4484367,-112.074141,29.7589382,-95.3676974,1632.425047432659,3.040531309290824
Phoenix-Philadelphia,airplane,Phoenix,Philadelphia,33.4484367,-112.074141,39.9527237,-75.1635262,3344.2238981662795,5.18027987270785
Phoenix-San Antonio,airplane,Phoenix,San Antonio,33.4484367,-112.074141,29.4246002,-98.4951405,1362.4651857306935,2.703081482163367
Phoenix-San Diego,airplane,Phoenix,San Diego,33.4484367,-112.074141,32.7174202,-117.162772,480.9632116852957,1.6012040146066195
Phoenix-Dallas,airplane,Phoenix,Dallas,33.4484367,-112.074141,32.7762719,-96.7968559,1423.5611095192082,2.7794513868990105
Phoenix-San Jose,airplane,Phoenix,San Jose,33.4484367,-112.074141,37.3361663,-121.890591,988.5648601587978,2.2357060751984976
Phoenix-Austin,airplane,Phoenix,Austin,33.4484367,-112.074141,30.2711286,-97.7436995,1397.4396007492896,2.746799500936612
Phoenix-Jacksonville,airplane,Phoenix,Jacksonville,33.4484367,-112.074141,30.3321838,-81.655651,2882.383596856462,4.602979496070578
Phoenix-Fort Worth,airplane,Phoenix,Fort Worth,33.4484367,-112.074141,32.753177,-97.3327459,1374.1720563629808,2.717715070453726
Phoenix-Columbus,airplane,Phoenix,Columbus,33.4484367,-112.074141,39.9622601,-83.0007065,2677.793399392675,4.347241749240844
Phoenix-Charlotte,airplane,Phoenix,Charlotte,33.4484367,-112.074141,35.2272086,-80.8430827,2862.5771650083752,4.578221456260469
Phoenix-San Francisco,airplane,Phoenix,San Francisco,33.4484367,-112.074141,37.7792588,-122.4193286,1050.9952824728152,2.313744103091019
Phoenix-Indianapolis,airplane,Phoenix,Indianapolis,33.4484367,-112.074141,39.7683331,-86.1583502,2407.830379817404,4.009787974771754
Phoenix-Seattle,airplane,Phoenix,Seattle,33.4484367,-112.074141,47.6038321,-122.330062,1793.2668754781166,3.2415835943476456
Phoenix-Denver,airplane,Phoenix,Denver,33.4484367,-112.074141,39.7392364,-104.984862,942.66932699033,2.1783366587379125
Phoenix-Washington,airplane,Phoenix,Washington,33.4484367,-112.074141,38.8950368,-77.0365427,3182.6316089735424,4.9782895112169285
Phoenix-Boston,airplane,Phoenix,Boston,33.4484367,-112.074141,42.3554334,-71.060511,3693.574219348912,5.61696777418614
Phoenix-El Paso,airplane,Phoenix,El Paso,33.4484367,-112.074141,31.7601164,-106.4870404,555.9104717570569,1.6948880896963212
Phoenix-Nashville,airplane,Phoenix,Nashville,33.4484367,-112.074141,36.1622767,-86.7742984,2322.881103009032,3.90360137876129
Phoenix-Detroit,airplane,Phoenix,Detroit,33.4484367,-112.074141,42.3315509,-83.0466403,2715.6169516385457,4.394521189548183
Phoenix-Oklahoma City,airplane,Phoenix,Oklahoma City,33.4484367,-112.074141,35.4729886,-97.5170536,1352.169863218423,2.6902123290230286
