route_name,type,origin,destination,olat,olon,dlat,dlon,distance,time,CO2,price
Los Angeles-Austin,road,Los Angeles,Austin,34.052235,-118.243683,30.2711286,-97.7436995,2219.2164,23.786527777777778,266.30596799999995,110.96082
Los Angeles-Jacksonville,road,Los Angeles,Jacksonville,34.052235,-118.243683,30.3321838,-81.655651,3890.7006,42.24711111111111,466.884072,194.53503
Los Angeles-Fort Worth,road,Los Angeles,Fort Worth,34.052235,-118.243683,32.753177,-97.3327459,2262.9683,24.14402777777778,271.556196,113.148415
Los Angeles-Columbus,road,Los Angeles,Columbus,34.052235,-118.243683,39.9622601,-83.0007065,3603.9995,39.44655555555556,432.47994,180.199975
Los Angeles-Charlotte,road,Los Angeles,Charlotte,34.052235,-118.243683,35.2272086,-80.8430827,3893.4021,42.599222222222224,467.208252,194.670105
Los Angeles-San Francisco,road,Los Angeles,San Francisco,34.052235,-118.243683,37.7792588,-122.4193286,613.5952,7.1243333333333325,73.631424,30.67976
Los Angeles-Indianapolis,road,Los Angeles,Indianapolis,34.052235,-118.243683,39.7683331,-86.1583502,3322.8806,36.22327777777778,398.745672,166.14403
Los Angeles-Seattle,road,Los Angeles,Seattle,34.052235,-118.243683,47.6038321,-122.330062,1826.2385,21.50025,219.14862,91.311925
Los Angeles-Denver,road,Los Angeles,Denver,34.052235,-118.243683,39.7392364,-104.984862,1636.6788,17.78611111111111,196.401456,81.83394
Los Angeles-Washington,road,Los Angeles,Washington,34.052235,-118.243683,38.8950368,-77.0365427,4298.9056,46.95622222222222,515.868672,214.94528000000005
Los Angeles-Boston,road,Los Angeles,Boston,34.052235,-118.243683,42.3554334,-71.060511,4821.7763,53.69205555555556,578.613156,241.08881500000004
Los Angeles-El Paso,road,Los Angeles,El Paso,34.052235,-118.243683,31.7601164,-106.4870404,1291.6072,14.106388888888889,154.992864,64.58036
Los Angeles-Nashville,road,Los Angeles,Nashville,34.052235,-118.243683,36.1622767,-86.7742984,3230.2661000000003,34.775388888888884,387.631932,161.51330500000003
Los Angeles-Detroit,road,Los Angeles,Detroit,34.052235,-118.243683,42.3315509,-83.0466403,3675.0093,40.14619444444444,441.001116,183.750465
Los Angeles-Oklahoma City,road,Los Angeles,Oklahoma City,34.052235,-118.243683,35.4729886,-97.5170536,2139.1359,22.88005555555556,256.69630800000004,106.956795
Los Angeles-Portland,road,Los Angeles,Portland,34.052235,-118.243683,45.5202471,-122.674194,1548.5732,18.15325,185.828784,77.42866000000001
Los Angeles-Las Vegas,road,Los Angeles,Las Vegas,34.052235,-118.243683,36.171697,-115.1463536,434.5975,4.953277777777777,52.1517,21.729875000000003
Los Angeles-Memphis,road,Los Angeles,Memphis,34.052235,-118.243683,35.1460249,-90.0517638,2888.8869,30.901722222222222,346.666428,144.444345
Los Angeles-Baltimore,road,Los Angeles,Baltimore,34.052235,-118.243683,39.290386,-76.61219,4251.4945,47.20141666666667,510.17934,212.574725
Los Angeles-Louisville,road,Los Angeles,Louisville,34.052235,-118.243683,38.2542376,-85.759407,3351.1193,36.46683333333333,402.134316,167.555965
Chicago-New York,road,Chicago,New York,41.8755616,-87.6244212,40.7127281,-74.0060152,1280.1805,14.90802777777778,153.62166,64.009025
Chicago-Los Angeles,road,Chicago,Los Angeles,41.8755616,-87.6244212,34.052235,-118.243683,3247.8597,35.46680555555555,389.743164,162.392985
Chicago-Houston,road,Chicago,Houston,41.8755616,-87.6244212,29.7589382,-95.3676974,1724.8173000000002,19.631694444444445,206.978076,86.24086500000001
Chicago-Phoenix,road,Chicago,Phoenix,41.8755616,-87.6244212,33.4484367,-112.074141,2833.0993,31.634083333333333,339.971916,141.654965
Chicago-Philadelphia,road,Chicago,Philadelphia,41.8755616,-87.6244212,39.9527237,-75.1635262,1222.6393,14.001527777777778,146.716716,61.13196500000001
Chicago-San Antonio,road,Chicago,San Antonio,41.8755616,-87.6244212,29.4246002,-98.4951405,1979.1813,22.04763888888889,237.501756,98.959065
Chicago-San Diego,road,Chicago,San Diego,41.8755616,-87.6244212,32.7174202,-117.162772,3346.395,36.62025,401.5674,167.31975
