origin,destination,time
New York,Chicago,
New York,Washington,
New York,Boston,
San Diego,San Antonio,
San Antonio,Austin,
San Antonio,Houston,
Los Angeles,San Diego,
Los Angeles,Austin,
Los Angeles,San Jose,
Chicago,Detroit,
Washington,Jacksonville,
Chicago,Louisville,
